20350,1965,-19.850000,-47.550000
2500,1957,-20.000000,-45.000000
2121,1950,-19.533330,-48.566670
350,1908,-19.466670,-44.216670
40000,1903,-19.816670,-48.783330
64000,1965,-17.166670,-43.833330
2000000,1992,-14.258000,-49.159170
158,1958,-18.850000,-41.950000
14850,1989,-19.166670,-47.833330
1224,1888,-18.500000,-44.000000
97000,1954,-14.367500,-43.022780
116300,1934,-19.866670,-44.616670
32000,1925,-18.583330,-46.533330
200000,1925,-18.583330,-46.533330
59000,1922,-18.941670,-44.983330
6175,1888,-17.300000,-45.000000
118,1991,-13.123330,-42.288500
1918000,1921,-16.266670,-47.950000
72500,1992,-14.533330,-48.766670
14000,1965,-19.733330,-48.316670
10500,2007,-14.838610,-40.836110
