2700,1880,26.583330,85.566670
1280,1920,25.254170,80.625000
3700,1798,25.366670,82.916670
2500,1905,22.083330,86.900000
1039,1895,25.383330,82.600000
1500,1852,26.783330,82.833330
29000,1861,27.083330,84.083330
0.5,1814,25.366670,81.666670
8200,1907,25.850000,83.483330
5650,1878,26.916670,83.966670
230,1899,21.866670,82.450000
300,1872,26.250000,82.000000
4000,1822,25.950000,80.816670
1600,1865,24.233330,89.050000
1000,1878,26.800000,82.533330
2770,1942,26.033330,81.466670
6669.2,2003,20.462500,86.702780
3698,1932,25.550000,83.116670
9700,1910,25.100000,81.533330
900,1955,26.783330,82.716670
1000,1950,25.916670,86.366670
1700,1863,23.050000,86.700000
71400,1920,25.483330,81.983330
350,1827,25.900000,83.616670
8510,1910,25.683330,83.250000
1245,1964,26.133330,85.533330
105,1890,21.250000,83.666670
800,1942,26.200000,85.400000
4375,1969,20.936940,82.050000
842,1882,25.800000,88.450000
350,1866,26.716670,82.666670
3766,1940,26.450000,82.900000
100,1916,24.166670,87.766670
290.39999999999998,1917,23.983330,87.083330
1250,1855,27.433330,82.083330
6930,1853,26.750000,84.783330
4000,1850,23.100000,87.300000
5000,1865,24.550000,84.833330
3679.7,1921,25.850000,87.577500
1600,1875,20.916670,82.583330
72.900000000000006,1960,27.133330,84.066670
1710.5,1916,25.933330,84.283330
7235,1865,26.716670,84.216670
2437,1906,23.100000,87.433330
,,25.333330,83.000000
265,1948,24.400000,81.883330
